price_id;price_range
1373;CHF 13-CHF 56
1374;CHF 14-CHF 21
1375;CHF 17-CHF 38
1376;CHF 6-CHF 11
1377;CHF 30-CHF 39
1378;CHF 13-CHF 18
1379;CHF 12-CHF 35
1380;CHF 12-CHF 33
1381;CHF 17-CHF 37
1382;CHF 17-CHF 47
1383;CHF 18-CHF 31
1384;CHF 2-CHF 13
1385;CHF 9-CHF 15
1386;CHF 2-CHF 10
1387;CHF 4-CHF 17
1388;CHF 8-CHF 19
1389;CHF 7-CHF 28
1390;CHF 59-CHF 100
1391;CHF 17-CHF 30
1392;CHF 12-CHF 26
1393;CHF 14-CHF 60
1394;CHF 28-CHF 36
1395;CHF 14-CHF 30
1396;CHF 34-CHF 134
1397;CHF 12-CHF 39
1398;CHF 6-CHF 13
1399;CHF 3-CHF 18
1400;CHF 4-CHF 12
1401;CHF 8-CHF 15
1402;CHF 33-CHF 50
1403;CHF 9-CHF 11
1404;CHF 9-CHF 34
1405;CHF 14-CHF 55
1406;CHF 19-CHF 44
1407;CHF 4-CHF 39
1408;CHF 4-CHF 6
1409;CHF 8-CHF 11
1410;CHF 12-CHF 27
1411;CHF 2-CHF 19
1412;CHF 4-CHF 32
1413;CHF 4-CHF 15
1414;CHF 17-CHF 50
1415;CHF 3-CHF 21
1416;CHF 22-CHF 43
1417;CHF 9-CHF 21
1418;CHF 9-CHF 23
1419;CHF 19-CHF 38
1420;CHF 13-CHF 46
1421;CHF 8-CHF 22
1422;CHF 12-CHF 38
1423;CHF 32-CHF 45
1424;CHF 9-CHF 24
1425;CHF 19-CHF 77
1426;CHF 12-CHF 22
1427;CHF 5-CHF 10
1428;CHF 4-CHF 11
1429;CHF 7-CHF 16
1430;CHF 14-CHF 33
1431;CHF 4-CHF 22
1432;CHF 12-CHF 23
1433;CHF 8-CHF 14
1434;CHF 20-CHF 26
1435;CHF 20-CHF 33
1436;CHF 2-CHF 9
1437;CHF 10-CHF 33
1438;CHF 10-CHF 18
1439;CHF 17-CHF 35
1440;CHF 15-CHF 31
1441;CHF 10-CHF 39
1442;CHF 13-CHF 21
1443;CHF 8-CHF 23
1444;CHF 18-CHF 35
1445;CHF 11-CHF 18
1446;CHF 19-CHF 55
1447;CHF 21-CHF 77
1448;CHF 10-CHF 16
1449;CHF 5-CHF 18
1450;CHF 15-CHF 22
1451;CHF 13-CHF 39
1452;CHF 4-CHF 14
1453;CHF 18-CHF 40
1454;CHF 19-CHF 33
1455;CHF 28-CHF 57
1456;CHF 18-CHF 39
1457;€4-€36
1458;€18-€80
1459;€65-€90
1460;€53-€85
1461;€33-€132
1462;€21-€52
1463;€23-€98
1464;€7-€38
1465;€28-€44
1466;€22-€45
1467;€8-€58
1468;€18-€36
1469;€5-€100
1470;€34-€76
1471;€22-€61
1472;€26-€29
1473;€3-€3
1474;€18-€43
1475;€47-€105
1476;€23-€41
1477;€39-€200
1478;€21-€69
1479;€31-€106
1480;€33-€89
1481;€21-€49
1482;€3-€56
1483;€22-€52
1484;€3-€37
1485;€3-€455
1486;€30-€117
1487;€16-€21
1488;€40-€73
1489;€5-€5,000
1490;€47-€70
1491;€28-€100
1492;€12-€53
1493;€19-€34
1494;€26-€40
1495;€9-€56
1496;€11-€51
1497;€25-€116
1498;€6-€7
1499;€12-€44
1500;€3-€40
1501;€16-€49
